sqft,lotsize,bedrooms,bathrooms,stories,garage_cars,age,total_rooms,noise_index_1,noise_index_2,house_number,has_pool,has_central_ac,is_waterfront,distance_to_city_center_miles,property_tax_rate,year_built,noise_zip_last2,noise_random_score,price
1313,2199,3,2,2,2,41,6,98.38403128554378,6.9232600020637936,893,0,1,0,23.5,1.34,1985,94,75.83,121983
2231,6029,3,1,2,2,11,5,26.895894582647102,11.413634858627468,852,0,0,0,18.6,1.21,2015,35,46.57,211697
1487,2580,3,3,2,1,4,7,40.69719096342639,11.860512312483902,981,0,1,0,6.2,1.1,2022,81,51.35,173863
1621,4292,2,3,1,1,34,6,89.14800156235067,11.76998677216222,104,0,1,0,1.7,1.3,1992,57,53.55,174169
2463,6633,3,2,1,1,38,5,0.2921032621362007,10.418138460235731,695,0,1,0,7.3,1.26,1988,75,43.18,223653
2013,5096,3,2,2,2,46,5,3.976596498856954,8.06586351305586,919,1,0,0,15.3,1.33,1980,79,37.96,218437
2081,3383,4,3,1,2,4,8,60.40716770712192,14.87553917611946,460,0,1,0,2.2,1.3,2022,37,69.48,227267
1647,3927,3,2,2,0,38,6,90.7380164712847,10.959574885968353,558,1,1,0,12.9,1.36,1988,35,35.29,181494
2565,6019,4,1,2,3,19,6,23.885666040192767,9.652226716821664,347,0,1,0,15.3,1.12,2007,34,30.08,216109
1599,3904,3,2,3,0,6,5,46.9641774680709,9.661101525033263,665,0,1,0,9.0,1.4,2020,21,60.2,165226
1973,5324,3,2,2,2,34,6,45.04653016578183,10.299194956147108,772,0,1,0,19.5,1.23,1992,14,67.37,190944
2206,5068,4,2,3,2,18,6,47.297134609551016,12.139216524315962,521,0,1,0,3.6,1.51,2008,57,43.23,212347
1918,4022,3,2,1,2,13,5,62.25196957297452,10.379256246610906,837,0,1,0,2.8,1.1,2013,46,43.46,194045
2580,8215,2,3,2,2,41,6,46.974376299068375,11.717026306894994,114,0,1,0,18.5,1.46,1985,88,54.24,256655
1928,5950,2,3,1,2,23,5,44.74681413224578,10.302795375786417,835,0,1,0,12.9,1.23,2003,53,39.38,229730
1527,1962,4,2,1,1,19,6,47.42884204312605,9.775292217059238,672,0,0,0,17.5,1.1,2007,24,38.27,130194
2073,5279,3,1,2,2,45,5,59.08674412710416,11.282500786656778,221,0,1,0,11.4,1.13,1981,52,63.19,162264
1952,4007,4,3,2,0,11,8,53.70074883513583,11.206572067347594,376,0,1,0,6.9,1.15,2015,57,59.11,187694
2179,6278,3,2,3,2,1,6,85.41359976505044,9.66073176180969,657,0,1,0,20.7,1.26,2025,96,69.67,224605
1596,3811,2,1,2,2,24,3,4.9496853493666615,8.501586084571482,552,1,1,0,20.2,1.28,2002,79,31.21,171250
1727,4827,2,3,1,2,7,5,83.33170714730124,10.683457829480869,489,1,1,0,17.7,1.11,2019,55,42.46,231823
2406,5757,3,3,1,1,25,6,84.3924612611724,10.156697337925188,393,1,1,0,7.5,1.2,2001,52,54.22,263549
2418,6298,3,2,2,2,21,5,28.490802153096084,8.890256574458485,673,0,0,0,15.2,1.52,2005,30,36.12,225435
1604,3199,3,2,1,2,15,6,46.285195501585065,8.315199034926406,697,0,1,0,9.7,1.46,2011,32,59.63,173068
1830,4498,3,1,1,2,1,6,43.85384885374355,10.820951687788911,545,1,1,0,3.2,1.27,2025,89,68.37,219045
1962,4287,4,1,1,0,12,6,21.850983435413028,11.100190114055389,309,0,1,0,23.0,1.21,2014,56,41.25,164098
1733,4020,3,1,1,0,7,5,39.67968470863165,9.279935770690278,689,1,0,0,4.3,1.22,2019,24,50.58,206723
2549,7648,3,2,1,1,15,6,4.438777217085443,8.84012592817415,813,1,1,0,23.8,1.29,2011,34,71.83,242162
2466,5607,4,1,1,1,21,6,27.782207278173445,8.339489621925619,401,1,1,0,11.7,1.05,2005,45,76.99,221890
